"id","name","creation_date"
"d7999f7c-d9f3-4f61-8ffc-b2f805389e35","(DEMO) Wood Creek Healthcare","2021-12-09 18:13:59.941218+00"
"4b0dc4a5-5b9b-4072-afaf-481f71a7e94e","(RESEARCH) Duke - GenARA","2022-02-18 15:38:22.213113+00"
"5a1a6fbb-5bdd-43c3-99c7-69fc2fb41691","Longmont Integrative Family Practice","2022-03-21 13:49:02.781775+00"
"903f098d-9994-428d-913f-eea702270933","Ilera Allergy & Asthma Center","2022-04-04 14:08:51.480077+00"
"789f1b0c-31b1-4d80-bfaa-9021d2086258","Oregon Health DPC","2022-04-04 14:24:11.888004+00"
"20365827-891d-440f-97e2-fda8d4893848","Desert Mobile Medical","2022-04-04 14:20:08.588323+00"
"1a1810bb-84bd-46fa-851c-962d7ad5c36b","Sales_Demo","2021-11-23 17:38:53.211897+00"
"5be2a211-e4da-4860-935f-6df0cc939f7b","Sovah Health","2022-04-27 20:05:43.034369+00"
"9d4a2295-2243-4bc1-ad08-6d9e51a7da82","Alpha Omega DPC","2022-05-16 15:08:33.374475+00"
"5bf687e9-9ba5-4745-af41-81f5c5527553","(RESEARCH) Columbia University Urban Environmental","2021-08-10 23:07:23.540181+00"
"3fcff6b3-472c-4be2-bd0f-883a7cb7656e","Portland Maine DPC","2022-06-06 13:16:09.7005+00"
"96ef1320-3f78-4ef3-982b-7bee6f757de5","Portland Maine DPC 2","2022-06-06 21:05:29.444938+00"
"d0cc82b4-96d8-47f1-9a4e-92b787f065a9","[DPC] Solstice Health","2022-07-25 14:01:33.711787+00"
"3e39c4f8-52f8-4c4d-8555-4dd76847975a","[DPC] Crossbridge DPC","2023-10-31 18:11:20.6209+00"
"5e958760-d576-4601-bd0a-6acca6fe42a5","[DPC] First Primary Care","2022-07-25 14:18:03.80527+00"
"bf5196d6-c875-4547-a9f3-66423dca226d","[DPC] Priority Health Direct Primary Care","2022-07-25 14:18:03.806904+00"
"23933939-133b-414f-aa37-e37f58d1ee0d","[DPC] Blake Family Medicine","2022-07-25 14:18:03.808316+00"
"a6228d0e-414c-4a4e-a006-ed1bae3987e1","[DPC] UR Country Doc","2022-07-25 14:18:04.34751+00"
"0e2acf79-74df-4a63-899a-a6394a55b923","[DPC] rootsMD Direct Care Family Medicine","2022-07-25 17:11:32.039762+00"
"4af45ee1-fd2d-49c6-ae93-9fcd4fd03e73","[DPC] Ember Modern Medicine","2022-08-11 13:21:23.706993+00"
"5c7aff2a-bebc-4684-928a-a7cf0a3b5f23","[DPC] Foundations Direct Care","2022-08-25 21:54:35.929168+00"
"d48ccb62-19fd-4c9e-b231-c9c1e8f0a338","[DPC] Santa Cruz Direct Primary Care","2022-09-02 21:24:37.404842+00"
"eb0ac372-1263-49ab-97ef-86efe6cae437","[DPC] Frontier Direct Care","2022-09-02 21:30:09.495689+00"
"5c52f4be-71e7-4527-8214-acc918005a0e","[DPC] Elevated Health","2022-09-28 18:47:04.125463+00"
"246d55dc-d82e-4f0d-8cc1-b3f1876f170f","[DPC] Integrative Health Institute","2022-10-07 15:10:28.705317+00"
"93246cec-0c40-450e-af8f-c7ee1f52f8a8","[DPC] Amenity Direct Care","2022-10-07 15:14:56.519392+00"
"07bb3ac5-5a77-4f16-bd7f-38f2c803b0f1","[DPC] Agape Direct Primary Care","2022-11-07 16:45:56.98671+00"
"53ed0391-9cb7-484f-b5b1-0ee4bf21e5ad","[DPC] Your Doctor MN","2022-11-15 16:02:12.853845+00"
"bd938b36-6bba-432c-b6d6-e81b7931ca07","[DPC] Island Direct Primary Care","2022-11-15 16:06:59.607706+00"
"fef747ea-6a46-4f72-b787-79ffd42ef14e","[DPC] Mobile Medical Mission","2022-11-21 15:03:08.170176+00"
"767cd6f8-101c-468d-abb4-44b09e9a4a55","[DPC] Suzanne Gehl, MD LLC","2022-11-23 15:15:06.381021+00"
"834419fc-cde1-4f12-b439-f03bb6966e41","[DPC] Big Trees MD","2022-11-29 20:00:45.366007+00"
"1dca4f83-1083-42de-8236-967955d8a89d","[DPC] Hearthside Family Health","2022-11-30 23:32:49.275547+00"
"63fb3cf7-ed25-48ee-911c-0522e18722ef","[DPC] HealthSprings Direct","2022-11-30 23:35:58.380128+00"
"71107330-4362-437c-8a7e-a533412cbdd3","[DPC] Magnolia Direct Primary Care","2022-12-06 16:08:27.166859+00"
"43d4f637-c042-433b-b3c2-84108b935f2a","[DPC] Gainesville DPC","2023-01-03 15:53:07.669541+00"
"6baa20d2-ac43-4fe1-9b2e-81fab550a7fe","Family Allergy & Asthma","2023-01-13 19:02:13.963489+00"
"78b10a07-d42e-4ee2-bae4-610003b98e86","[DPC] Blue Spruce Health","2023-01-24 18:24:42.897763+00"
"e0b68989-c1fa-4522-b789-24a8aa5607da","[DPC] Thurston Internal Medicine","2023-02-06 15:51:58.783747+00"
